warehouse_id,region,sku,product_name,category,current_stock_units,safety_stock_units,reorder_point_units,max_stock_units,inventory_value_cad,days_of_supply,status,last_updated
WH-012,West,SKU-1006,Iced Tea - Peach,Beverages,6631,853,1280,8536,28181.75,150.7,Overstock,2025-11-18
WH-012,West,SKU-1008,Coconut Water Organic,Beverages,4652,700,1050,7006,43031.00,66.5,Normal,2025-11-18
WH-012,West,SKU-1000,Maple Crunch Granola Bars,Snacks & Confectionery,2289,419,628,4192,10300.50,28.6,Normal,2025-11-18
WH-013,West,SKU-1006,Iced Tea - Peach,Beverages,9003,981,1472,9816,38262.75,310.4,Overstock,2025-11-18
WH-013,West,SKU-1019,Disinfecting Wipes,Household Cleaning,5163,751,1127,7516,58083.75,72.7,Normal,2025-11-18
WH-013,West,SKU-1016,Dish Soap - Citrus,Household Cleaning,3308,585,878,5854,20675.00,41.4,Normal,2025-11-18
WH-013,West,SKU-1004,Mixed Nuts Premium,Snacks & Confectionery,7090,910,1365,9102,48212.00,104.3,Overstock,2025-11-18
WH-013,West,SKU-1002,Potato Chips - Sea Salt,Snacks & Confectionery,2092,547,820,5472,7845.00,21.1,Normal,2025-11-18
WH-013,West,SKU-1008,Coconut Water Organic,Beverages,2753,411,616,4112,25465.25,46.7,Normal,2025-11-18
WH-013,West,SKU-1013,Toothpaste - Whitening,Personal Care,3908,402,603,4026,25402.00,63.0,Overstock,2025-11-18
WH-013,West,SKU-1010,Hand Soap - Lavender,Personal Care,416,91,137,914,3432.00,5.9,Normal,2025-11-18
WH-013,West,SKU-1022,Probiotics Daily,Health & Wellness,3806,644,966,6446,85635.00,40.5,Normal,2025-11-18
WH-013,West,SKU-1023,Fiber Supplement Powder,Health & Wellness,2297,269,403,2692,38474.75,164.1,Overstock,2025-11-18
WH-013,West,SKU-1018,Glass Cleaner,Household Cleaning,1254,226,340,2268,9781.20,14.8,Normal,2025-11-18
WH-013,West,SKU-1000,Maple Crunch Granola Bars,Snacks & Confectionery,1385,563,845,5638,6232.50,21.0,Normal,2025-11-18
WH-013,West,SKU-1021,Protein Bars - Chocolate,Health & Wellness,1260,183,274,1832,15750.00,18.5,Normal,2025-11-18
WH-013,West,SKU-1011,Body Lotion - Unscented,Personal Care,414,45,67,450,5175.00,14.8,Overstock,2025-11-18
WH-013,West,SKU-1012,Shampoo - Moisturizing,Personal Care,6054,691,1037,6916,95350.50,208.8,Overstock,2025-11-18
